Champiñon Entero  TOTTUS,24.95
Albahaca   TOTTUS,43.9
Blueberrie Premium  TOTTUS,23.98
Pera Packhams   TOTTUS,6.483333333
Plátano Biscocho  TOTTUS,5.59
Hierba Luisa   TOTTUS,
Plátano Bellaco   TOTTUS,
Piña Hawai   TOTTUS,1.688888889
Granadilla Golden Premium  TOTTUS,
Ajos Pelados  TOTTUS,39.56
Culantro   TOTTUS,
Tomate Italiano Selecto  TOTTUS,3.49
Chirimoya Cumbe   TOTTUS,9.9875
Choclo Serrano Selecto   TOTTUS,
Ajo Entero sin Pelar  TOTTUS,13
Zapallo Macre   TOTTUS,3.49
Piña Golden   TOTTUS,4.59
Lechuga Crespa   TOTTUS,8.3
Tomate Italiano Selecto  TOTTUS,3.49
Papa Rosada Canchán Procesada  TOTTUS,2.586666667
Champiñon Picado  TOTTUS,28.45
Berenjena   TOTTUS,
Kión   TOTTUS,8
Manzana Royal Gala Importada   TOTTUS,6.99
Apio   TOTTUS,
Manzana Royal Gala Importada   TOTTUS,6.99
Zarzamora  TOTTUS,72.9
Verduras para Sopa de Verduras   TOTTUS,19.96666667
Camote Amarillo  TOTTUS,1.5875
Mandarina con Pepa  TOTTUS,2.99
Cebollita China   TOTTUS,
Yuca Amarilla   TOTTUS,2.88
Hierba Buena   TOTTUS,
Ajos Pelados  TOTTUS,39.56
Rocoto   TOTTUS,
Espinaca   TOTTUS,5.5
Cebolla Roja  TOTTUS,1.49
Aguaymanto  TOTTUS,22.76
Arveja Americana   TOTTUS,6
Habas   TOTTUS,
Aji Limo   TOTTUS,10
Aguaymanto   TOTTUS,12
Lechuga Seda Hidropónica  TOTTUS,22.6
Cebolla Blanca   TOTTUS,1.983333333
Papa Negra Andina Procesada   TOTTUS,3.99
Pasta Wantan   SAN SEN,5.98
Mix Berries Frambuesa y Bluberrie  EL HUERTO,79.9
Papa Huamantanga Procesada   TOTTUS,5.5875
Aguaymanto  FRUTIFAST,23.56
Fideos Chinos  SAN SEN,5.98
