Producto;Variedad;Precio MAX;Precio AVG;Precio MIN;Precio Tottus
Pollo;Pollo Vivo; S/.3.65 ; S/.3.65 ; S/.3.65 ;
Sandia;Sandia; S/.1.10 ; S/.1.05 ; S/.1.00 ;
Tomate;Tomate Katia; S/.2.04 ; S/.1.94 ; S/.1.85 ;
Tuna;Tuna Amarilla; S/.2.90 ; S/.2.80 ; S/.2.70 ;
Tuna;Tuna Blanca; S/.3.00 ; S/.2.88 ; S/.2.80 ;
Tuna;Tuna Morada / Rosada; S/.2.80 ; S/.2.75 ; S/.2.70 ;
Uva;Uva Alfonso Lavalett; S/.2.00 ; S/.1.94 ; S/.1.83 ;
Uva;Uva Borgoña; S/.2.33 ; S/.2.27 ; S/.2.17 ;
Uva;Uva Italia; S/.2.50 ; S/.2.42 ; S/.2.33 ;
Uva;Uva Palestina; S/.3.00 ; S/.2.92 ; S/.2.83 ;
Uva;Uva Red Globe; S/.2.17 ; S/.2.06 ; S/.2.00 ;
Uva;Uva Rosada Sin Pepa; S/.3.00 ; S/.2.92 ; S/.2.83 ;
Uva;Uva Superior; S/.3.58 ; S/.3.54 ; S/.3.50 ;
Vainita;Vainita Americana; S/.1.50 ; S/.1.43 ; S/.1.30 ;
Yuca;Yuca Amarilla; S/.1.30 ; S/.1.23 ; S/.1.20 ;
Zanahoria;Zanahoria; S/.0.46 ; S/.0.42 ; S/.0.38 ;
Zapallo;Zapallo Italiano; S/.0.83 ; S/.0.67 ; S/.0.50 ;
Zapallo;Zapallo Macre; S/.1.10 ; S/.1.00 ; S/.0.90 ;
