web-scraper-order,web-scraper-start-url,category_link,category_link-href,subcategory_link,subcategory_link-href,product_link,product_link-href,name,entero,decimal
"1572320705-282","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Chirimoya, Lúcuma, Carambola y Frutas Exóticas (10)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/chirimoya-lucuma-carambola-y-frutas-exoticas?PS=24","Coco Unidad","https://www.plazavea.com.pe/coco-unidad/p","Coco Unidad","4",".99"
"1572320753-293","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Naranjas y Mandarinas y Frutas Cítricas (5)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/naranjas-y-mandarinas-y-frutas-citricas?PS=24","Naranja para Jugo","https://www.plazavea.com.pe/naranja-para-jugo/p","Naranja para Jugo","1",".29"
"1572320398-222","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Cebolla, Limón, Ajo y Ají (12)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/cebolla-limon-ajo-y-aji?PS=24","Ajo Entero Pelado LA FLORENCIA Bandeja 250g","https://www.plazavea.com.pe/ajos-entero-pelado-la-florencia-bandeja-250g/p","Ajo Entero Pelado LA FLORENCIA Bandeja 250g","9",".99"
"1572320619-263","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Frutas Picadas y Preparadas (10)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/frutas-picadas-y-preparadas?PS=24","Pack Loncherita SOLEI","https://www.plazavea.com.pe/pack-loncherita-solei/p","Pack Loncherita SOLEI","1",".89"
"1572320626-265","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Frutas Picadas y Preparadas (10)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/frutas-picadas-y-preparadas?PS=24","Piña Golden en Trozos SOLEI Bandeja 150g","https://www.plazavea.com.pe/pina-golden-en-trozos-solei-bandeja-150g/p","Piña Golden en Trozos SOLEI Bandeja 150g","4",".49"
"1572320024-155","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Verduras Congeladas (8)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/verduras-congeladas?PS=24","Papas Congeladas MC CAIN Corte Tradicional Bolsa 720g","https://www.plazavea.com.pe/papas-congeladas-mc-cain-corte-tradicional-bolsa-720g/p","Papas Congeladas MC CAIN Corte Tradicional Bolsa 720g","9",".99"
"1572320463-234","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Plátanos y Uvas (8)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/platanos-y-uvas?PS=24","Plátano Bizcocho LA FLORENCIA","https://www.plazavea.com.pe/platano-bizcocho-la-florencia/p","Plátano Bizcocho LA FLORENCIA","4",".69"
"1572320413-225","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Cebolla, Limón, Ajo y Ají (12)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/cebolla-limon-ajo-y-aji?PS=24","Cebolla China LA FLORENCIA Bolsa 320g","https://www.plazavea.com.pe/cebolla-china-la-florencia-bolsa-320g/p","Cebolla China LA FLORENCIA Bolsa 320g","2",".80"
"1572320730-289","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Chirimoya, Lúcuma, Carambola y Frutas Exóticas (10)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/chirimoya-lucuma-carambola-y-frutas-exoticas?PS=24","Coco en Trozos SOLEI Vaso 130g","https://www.plazavea.com.pe/coco-en-trozos-solei-vaso-130g/p","Coco en Trozos SOLEI Vaso 130g","5",".69"
"1572320481-239","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Plátanos y Uvas (8)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/platanos-y-uvas?PS=24","Plátano Bellaco","https://www.plazavea.com.pe/platano-bellaco/p","Plátano Bellaco","4",".99"
"1572320422-227","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Cebolla, Limón, Ajo y Ají (12)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/cebolla-limon-ajo-y-aji?PS=24","Cebolla Roja","https://www.plazavea.com.pe/cebolla-roja/p","Cebolla Roja","1",".49"
"1572320141-180","https://www.plazavea.com.pe/frutas-y-verduras","Verduras","https://www.plazavea.com.pe/frutas-y-verduras/verduras?PS=24","Choclo, Arvejas, Vainitas, Habas y Otras Legumbres (6)","https://www.plazavea.com.pe/frutas-y-verduras/verduras/choclo-arvejas-vainitas-habas-y-otras-legumbres?PS=24","Holantao","https://www.plazavea.com.pe/holantao/p","Holantao","6",".99"
"1572320726-288","https://www.plazavea.com.pe/frutas-y-verduras","Frutas","https://www.plazavea.com.pe/frutas-y-verduras/frutas?PS=24","Chirimoya, Lúcuma, Carambola y Frutas Exóticas (10)","https://www.plazavea.com.pe/frutas-y-verduras/frutas/chirimoya-lucuma-carambola-y-frutas-exoticas?PS=24","Lima Dulce","https://www.plazavea.com.pe/lima-dulce/p","Lima Dulce","0",".99"
